"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9525","DemoProject Signup Cancel","chromium","2026-05-29","passed","2026-05-29","Signup Suite","demoprojectsignup.spec.js","",""
"","12663","Demoproject Signup submission","chromium","2026-05-29","passed","2026-05-29","","demoprojectsignup.spec.js","",""
"","13849","Demoproject Signup submission","chromium","2026-05-29","passed","2026-05-29","Signup Suite","demoprojectsignup.spec.js","",""
"","22276","Select One Product","chromium","2026-05-29","passed","2026-05-29","Add to Cart Suite","demoprojectaddtocart.spec.js","",""
"","12392","Login using Invalid Username and Invalid Password","chromium","2026-05-29","passed","2026-05-29","","demoprojectlogin.spec.js","",""
"","41336","Select One Product Under Monitors","chromium","2026-05-29","passed","2026-05-29","Add to Cart Suite","demoprojectaddtocart.spec.js","",""
"","37645","Select One Product Under Monitors","chromium","2026-05-29","passed","2026-05-29","","demoprojectaddtocart.spec.js","",""
"","17458","Login using Invalid Username and Valid Password","chromium","2026-05-29","passed","2026-05-29","Login Suite","demoprojectlogin.spec.js","",""
"","4361","Login using valid Credentials","chromium","2026-05-29","failed","2026-05-29","Add to Cart Suite","demoprojectlogin.spec.js","",""
"","27810","Login using Valid Username and Invalid Password","chromium","2026-05-29","passed","2026-05-29","Login Suite","demoprojectlogin.spec.js","",""
"","41984","Select One Product Under Phones","chromium","2026-05-29","passed","2026-05-29","Add to Cart Suite","demoprojectaddtocart.spec.js","",""
"","17821","Login using valid Credentials","chromium","2026-05-29","passed","2026-05-29","Login Suite","demoprojectlogin.spec.js","",""
"","16406","Login using Invalid Username and Invalid Password","chromium","2026-05-29","passed","2026-05-29","Login Suite","demoprojectlogin.spec.js","",""
"","12540","Login using Valid Username and Invalid Password","chromium","2026-05-29","passed","2026-05-29","","demoprojectlogin.spec.js","",""
"","41210","Select One Product Under Phones","chromium","2026-05-29","passed","2026-05-29","","demoprojectaddtocart.spec.js","",""
"","13361","Logout","chromium","2026-05-29","passed","2026-05-29","","demoprojectlogout.spec.js","",""
"","17485","Select One Product","chromium","2026-05-29","passed","2026-05-29","","demoprojectaddtocart.spec.js","",""
"","13002","Login using valid Credentials","chromium","2026-05-29","passed","2026-05-29","","demoprojectlogin.spec.js","",""
"","12421","Login using Invalid Username and Valid Password","chromium","2026-05-29","passed","2026-05-29","","demoprojectlogin.spec.js","",""
"","8543","DemoProject Signup Cancel","chromium","2026-05-29","passed","2026-05-29","","demoprojectsignup.spec.js","",""
